16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
03 B0 3C 
03 B0 3E 
03 B0 40 
03 B0 42 
03 B0 44 
03 B0 46 
03 B0 48 
03 B0 4A 
03 B0 4C 
03 B0 4E 
03 B0 50 
03 B0 52 
03 B0 54 
03 B0 56 
03 B0 58 
03 B0 5A 
03 B0 5C 
03 B0 5E 
03 B0 60 
03 B0 62 
03 B0 64 
03 B0 66 
03 B0 68 
03 B0 6A 
03 B0 6C 
03 B0 6E 
03 B0 70 
03 B0 72 
03 B0 74 
03 B0 76 
03 B0 78 
03 B0 7A 
03 B0 7C 
03 B0 7E 
03 B0 80 
03 B0 82 
03 B0 84 
83 B0 86 
83 B0 88 
83 B0 8A 
83 B0 8C 
83 B0 8E 
83 B0 90 
83 B0 92 
83 B0 94 
83 B0 96 
83 B0 98 
83 B0 9A 
83 B0 9C 
83 B0 9E 
83 B0 A0 
83 B0 A2 
83 B0 A4 
83 B0 A6 
83 B0 A8 
83 B0 AA 
83 B0 AC 
83 B0 AE 
83 B0 B0 
83 B0 B2 
83 B0 B4 
83 B0 B6 
83 B0 B8 
83 B0 BA 
83 B0 BC 
83 B0 BE 
83 B0 C0 
83 B0 C2 
83 B0 C4 
83 B0 C6 
83 B0 C8 
83 B0 CA 
83 B0 CC 
33 B0 CE 
0B B0 D0 
0B B0 D2 
1B B0 D4 
1B B0 D6 
2B B0 D8 
0B B0 DA 
0B B0 DC 
03 B0 DE 
03 B0 E0 
03 B0 E2 
03 B0 E4 
03 B0 E6 
03 B0 E8 
03 B0 EA 
03 B0 EC 
03 B0 EE 
03 BA DC 
03 B0 F2 
03 BA 9C 
03 BA A4 
03 B0 F8 
03 B0 FA 
03 B0 FC 
03 B0 FE 
03 BB A4 
83 B1 02 
83 B1 04 
83 B1 06 
83 B1 08 
83 B1 0A 
83 B1 0C 
83 B1 0E 
83 B1 10 
83 B1 12 
83 B1 14 
83 B1 16 
83 B1 18 
83 B1 1A 
83 B1 1C 
83 B1 1E 
83 B1 20 
83 B1 22 
83 B1 24 
83 B1 26 
83 B1 28 
83 B1 2A 
83 B1 2C 
83 B1 2E 
83 B1 30 
83 B1 32 
83 B1 34 
83 B1 36 
83 B1 38 
83 B1 3A 
83 B1 3C 
83 B1 3E 
83 B1 40 
83 B1 42 
83 B1 44 
83 B1 46 
83 B1 48 
03 B1 4A 
03 B1 4C 
03 B1 4E 
03 B1 50 
03 B1 52 
03 B1 54 
03 B1 56 
03 B1 58 
03 B1 5A 
03 B1 5C 
03 B1 5E 
03 B1 60 
03 B1 62 
03 B1 64 
03 B1 66 
03 B1 68 
03 B1 6A 
03 B1 6C 
03 B1 6E 
03 B1 70 
03 B1 72 
03 B1 74 
03 B1 76 
03 B1 78 
03 B1 7A 
03 B1 7C 
03 B1 7E 
03 B1 80 
03 B1 82 
03 B1 84 
03 B1 86 
03 B1 88 
03 B1 8A 
03 B1 8C 
03 B1 8E 
03 B1 90 
03 B1 92 
03 B1 94 
03 B1 96 
03 B1 98 
03 B1 9A 
03 B1 9C 
03 B1 9E 
03 B1 A0 
03 B1 A2 
03 B1 A4 
03 B1 A6 
03 B1 A8 
03 B1 AA 
03 B1 AC 
03 B1 AE 
03 B1 B0 
03 B1 B2 
03 B1 B4 
03 B1 B6 
03 B1 B8 
03 B1 BA 
03 B1 BC 
03 B1 BE 
03 B1 C0 
03 B1 C2 
03 B1 C4 
03 B1 C6 
03 B1 C8 
03 B1 CA 
03 B1 CC 
03 B1 CE 
03 B1 D0 
03 B1 D2 
03 B1 D4 
03 B1 D6 
03 B1 D8 
03 B1 DA 
03 B1 DC 
03 B1 DE 
03 B1 E0 
03 B1 E2 
03 B1 E4 
03 B1 E6 
03 B1 E8 
03 B1 EA 
03 B1 EC 
03 B1 EE 
03 B1 F0 
03 B1 F2 
03 B1 F4 
03 B1 F6 
03 B1 F8 
03 B1 FA 
03 B1 FC 
03 B1 FE 
03 B2 00 
03 B2 02 
03 B2 04 
03 B2 06 
03 B2 08 
03 B2 0A 
03 B2 0C 
03 B2 0E 
03 B2 10 
03 B2 12 
03 B2 14 
03 B2 16 
03 B2 18 
03 B2 1A 
03 B2 1C 
03 B2 1E 
03 B2 20 
03 B2 22 
03 B2 24 
03 B2 26 
03 B2 28 
03 B2 2A 
03 B2 2C 
03 B2 2E 
03 B2 30 
03 B2 32 
03 B2 34 
03 B2 36 
03 B2 38 
03 B2 3A 
03 B2 3C 
03 B2 3E 
03 B2 40 
03 B2 42 
03 B2 44 
03 B2 46 
03 B2 48 
03 B2 4A 
03 B2 4C 
03 B2 4E 
03 B2 50 
03 B2 52 
03 B2 54 
03 B2 56 
03 B2 58 
03 B2 5A 
03 B2 5C 
03 B2 5E 
03 B2 60 
03 B2 62 
03 B2 64 
03 B2 66 
03 B2 68 
03 B2 6A 
03 B2 6C 
03 B2 6E 
03 B2 70 
03 B2 72 
03 B2 74 
03 B2 76 
03 B2 78 
03 B2 7A 
03 B2 7C 
03 B2 7E 
03 B2 80 
03 B2 82 
03 B2 84 
03 B2 86 
03 B2 88 
03 B2 8A 
03 B2 8C 
03 B2 8E 
03 B2 90 
03 B2 92 
03 B2 94 
03 B2 96 
03 B2 98 
03 B2 9A 
03 B2 9C 
03 B2 9E 
03 B2 A0 
03 B2 A2 
03 B2 A4 
03 B2 A6 
03 B2 A8 
03 B2 AA 
03 B2 AC 
03 B2 AE 
03 B2 B0 
03 B2 B2 
03 B2 B4 
03 B2 B6 
03 B2 B8 
03 B2 BA 
03 B2 BC 
03 B2 BE 
03 B2 C0 
03 B2 C2 
03 B2 C4 
03 B2 C6 
03 B2 C8 
03 B2 CA 
03 B2 CC 
03 B2 CE 
03 B2 D0 
03 B2 D2 
03 B2 D4 
03 B2 D6 
03 B2 D8 
03 B2 DA 
03 B2 DC 
03 B2 DE 
03 B2 E0 
03 B2 E2 
03 B2 E4 
03 B2 E6 
03 B2 E8 
03 B2 EA 
03 B2 EC 
03 B2 EE 
03 B2 F0 
03 B2 F2 
03 B2 F4 
03 B2 F6 
83 B2 F8 
83 B2 FA 
83 B2 FC 
83 B2 FE 
83 B3 00 
83 B3 02 
83 B3 04 
83 B3 06 
83 B3 08 
83 B3 0A 
83 B3 0C 
83 B3 0E 
83 B3 10 
83 B3 12 
83 B3 14 
83 B3 16 
83 B3 18 
83 B3 1A 
83 B3 1C 
83 B3 1E 
83 B3 20 
83 B3 22 
83 B3 24 
83 B3 26 
83 B3 28 
83 B3 2A 
83 B3 2C 
83 B3 2E 
83 B3 30 
83 B3 32 
83 B3 34 
83 B3 36 
83 B3 38 
83 B3 3A 
83 B3 3C 
83 B3 3E 
0B B3 40 
0B B3 42 
13 B3 44 
1B B3 46 
1B B3 48 
0B B3 4A 
0B B3 4C 
03 B3 4E 
03 B3 50 
03 B3 52 
03 B3 54 
03 B3 56 
03 B3 58 
03 B3 5A 
03 B3 5C 
03 B3 5E 
03 B3 60 
03 BA E4 
03 B3 64 
03 BA AC 
03 BA B4 
03 B3 6A 
03 B3 6C 
03 B3 6E 
03 B3 70 
83 B3 72 
83 B3 74 
83 B3 76 
83 B3 78 
83 B3 7A 
83 B3 7C 
83 B3 7E 
